web-scraper-order,web-scraper-start-url,Name,Video,Target Muscle Group,Exercise Type,Equipment Required,Mechanics,Force Type,Experience Level,Secondary Muscles,Muscle Group Image-src,Overview,Instructions,Tips
1744282578-1,https://www.muscleandstrength.com/exercises/back-to-wall-shoulder-flexion,Back to Wall Shoulder Flexion,https://www.youtube.com/embed/9vU0c_7CZSM?rel=0,Shoulders,Activation,Bodyweight,Compound,Push (Bilateral),Beginner,Upper Back,https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Shoulders.jpg,"The back to wall shoulder flexion is an activation drill used to warm up the muscles of the upper body.
Primarily, the back to wall shoulder flexion works on the mobility of the upper back and shoulders.
Proper warming up is critical, especially when it comes to the shoulder joint as it is active in the majority of movements putting it at a higher risk for injury.","
		Setup in a standing position with your back against a wall and your feet roughly 6-8 inches away from the base of the wall.

		Exhale and slowly raise the arms overhead as you try to touch your thumbs to the wall.

		Return to the starting position and repeat for the desired number of repetitions.","
		You may need to regress this drill to a supine position on the floor if you lack the anterior core control to complete it against the wall.

		Watch the elbow positioning as the arms raise overhead. If someone is “missing” overhead range of motion (which can be due to a variety of reasons, not just tissue restrictions) then they will likely compensate by bending the elbows.

		Be careful not to over cue the lats on the eccentric (lowering) portion. Aka don’t pull the elbows down aggressively, allow the forearms to slide down naturally while keeping the back musculature “quiet”.

		Ensure the low back stays relatively flat against the wall and the rib cage doesn’t flare as the arms go overhead.

		Make a double chin before you raise the arms as this will help to prevent the head jutting forward as the arms come fully into flexion.

		To make the exercise even tougher, add a full exhale at the top position to really drive activation of the abdominals and prevent the ribcage from flaring upward.

		If you’re a fairly kyphotic (flexed) individual then you may need to actually allow the shoulder blades to posteriorly tilt. Alternatively, if you sit in scapular depression, you may need to shrug slightly at the top to allow for complete upward rotation and optimal glenohumeral kinematics."
1744282580-2,https://www.muscleandstrength.com/exercises/one-arm-seated-dumbbell-press.html,One-Arm Seated Dumbbell Shoulder Press,https://player.vimeo.com/video/760007701?badge=0&autopause=0&player_id=0&app_id=58479,Shoulders,Strength,Dumbbell,Compound,Push,Beginner,Triceps,https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Shoulders.jpg,"The one-arm seated dumbbell shoulder press is a variation of the seated dumbbell shoulder press and an exercise used to strengthen the muscles of the shoulders.
The overhead press is a foundational movement for establishing baseline strength and building a completely balanced physique.
Utilizing dumbbells as opposed to performing with a barbell will allow the individual to strengthen each side of the muscle equally.
Performing unilateral movements can help improve weaknesses, balance your strength and aesthetic physique, and work towards reducing injuries by addressing imbalances in the body.
The exercise can be included in shoulder workouts, push workouts, upper body workouts, and full body workouts.","Set up for the exercise by grabbing a dumbbell and sitting on a bench with your feet around shoulder width apart.
Raise the dumbbell to shoulder height and rotate your palm to face forward.
Take a deep breath then press the dumbbell overhead by extending the elbows and contracting the deltoids.
Slowly lower the dumbbell back to the starting position (the arms should be roughly 90 degrees or slightly lower depending upon limb lengths).
Repeat for the desired number of repetitions, then repeat with your opposite arm.",
1744282582-3,https://www.muscleandstrength.com/exercises/alternating-small-waves-battling-ropes,Alternating Small Waves Battling Ropes,https://www.youtube.com/embed/uUl9jEElbOM?rel=0,Shoulders,Conditioning,Rope,Compound,Push (Bilateral),Beginner,"Abs, Forearms, Lats, Shoulders, Traps",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Shoulders.jpg,"The alternating small waves battling rope exercise is a rope slam variation and an exercise used to primarily target the muscles of the shoulders, arms, and core.
Battle rope exercises, such as the alternating small waves rope drill, are best used as a form of conditioning to get your heart rate up.
Alternatively, they can be used as an excellent shoulder finisher during your push or shoulder workouts.","
		Setup in a good athletic base position with your knees slightly bent, feet shoulder width apart, and both hands holding a rope.

		Alternate small waves with each rope by slamming them to the floor in a quick rhythmic fashion.

		Utilize the arms to generate the force and absorb the impact with your legs.

		Repeat for the desired time, duration, or reps.","
		Keep some tension through the core to help transmit force through the floor and keep the spine somewhat neutral as your extremities are moving.

		It’s supposed to be a full body movement, get the legs involved at the point of impact to help absorb force. Don’t just simply rely upon your arms.

		Keep the knees soft to help lessen the load on your joints and keep it on the musculature.

		You can progress the movement by utilizing heavier ropes, changing the difficulty of the rope slam (i.e. utilizing variations that involve more joints), or by increasing the duration/repetitions."
1744282585-4,https://www.muscleandstrength.com/exercises/half-kneeling-banded-external-rotation,Half Kneeling Banded External Rotation,https://www.youtube.com/embed/dZSOit02udY?rel=0,Shoulders,Strength,Bands,Isolation,Pull (Unilateral),Beginner,Upper Back,https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Shoulders.jpg,"The half kneeling banded external rotation exercise is a great prehab exercise to perform to promote rotator cuff health.
Rotator cuffs are one of the more common injuries, especially as lifters get older. Performing prehab exercises such as half kneeling banded external rotation can help prevent injury and increase your longevity in the gym.","
		Assume a half kneeling position with your elbow and shoulder flexed to 90 degrees laterally while holding a band with a pronated grip.

		Rotate directly at the shoulder while keeping the elbow bent until the forearm is perpendicular to the floor.

		Slowly lower the handle back to the starting position under control.

		Repeat for the desired number of repetitions.","
		Squeeze the glute on the down leg and ensure the rib cage stays down by keeping abdominals engaged.

		Ensure the head doesn’t jut forward and the back doesn’t arch as you rotate at the shoulder.

		Experiment with a supinated (palms up), pronated (palms down), and neutral grip (palms facing) to see which feels best for your shoulder."
1744282587-5,https://www.muscleandstrength.com/exercises/seated-battle-ropes,Seated Battling Ropes,https://www.youtube.com/embed/EezrsY-c-mQ?rel=0,Shoulders,Conditioning,Rope,Compound,Push (Bilateral),Beginner,"Abs, Forearms, Lats, Shoulders, Triceps",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Shoulders.jpg,"The seated battling rope exercise is a rope slam variation and an exercise used to primarily target the muscles of the shoulders, arms, and core.
Battle rope exercises, such as the seated rope drill, are best used as a form of conditioning to get your heart rate up.
Alternatively, they can be used as an excellent shoulder finisher during your push or shoulder workouts.","
		Setup in a seated position while holding a rope in either hand with a neutral grip.

		Alternate small waves with each rope by slamming them to the floor in a quick rhythmic fashion.

		Repeat for the desired time, duration, or reps.","
		Keep some tension through the core to help transmit force through the floor and keep the spine somewhat neutral as your extremities are moving.

		You can alternate between waves and slams if you prefer some variety.

		If you have a lower body injury, can’t seem to maintain a neutral spine during some of the other battling rope variations, or you’re trying to limit lower body volume for whatever reason, this would be an excellent option to include in your training.


				If you struggle with back pain or maintaining a neutral spine, utilize the following progression: seated, half kneeling, tall kneeling, split stance, standing.



		You can progress the movement by utilizing heavier ropes, changing the difficulty of the rope slam (i.e. utilizing variations that involve more joints), or by increasing the duration/repetitions."
1744282589-6,https://www.muscleandstrength.com/exercises/push-press,Push Press,https://www.youtube.com/embed/zwy8skLFtVY?rel=0,Shoulders,Strength,Barbell,Compound,Push (Bilateral),Beginner,"Abs, Traps, Triceps",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Shoulders.jpg,"The push press is an explosive variation of the overhead press. It is used to target the muscles of the shoulders, but also indirectly targets the core, traps, and triceps.
By utilizing a little extra leg drive, as seen in the push press, you should be able to overhead press slightly more weight than you could in the traditional variation. This is an excellent exercise to train the shoulders to have more power and explosiveness.","
		Adjust the barbell to just below shoulder height then load the desired weight onto the bar.

		Assume a shoulder width stance and place your hands at (or just outside of) shoulder width with a pronated grip on the bar.

		Step underneath the bar and unrack it while keeping the spine in a neutral position.

		Take two steps back, inhale, brace, and tuck the chin to prepare to go overhead.

		Dip slightly at the knees and hips, then press the bar to lockout overhead by extending your legs and arms simultaneously.

		Exhale once the bar gets to lockout and reverse the movement slowly while controlling the bar back to your chest.

		Repeat for the desired number of repetitions.","
		Reach tall at the top and don’t worry about keeping the shoulders packed down and back.

		Allow the elbows to rotate and point outward at the top of the movement but tuck them tight to the ribcage at the bottom.

		Fight to control the bar from rolling your wrists into extension and think about “rolling your knuckles toward the ceiling.”

		Squeeze your glutes and brace your abs as you press. You shouldn’t be leaning back excessively as you press.

		Imagine you’re trying to look out a window at the top, your ears should be in line with your biceps.

		If your shoulders are bothering you during the movement, consider experimenting with a wider grip or utilizing some of the vertical pressing progressions listed on the site.

		You can use a staggered stance to prevent the lower back from arching excessively but if you still can’t control the anterior core then consider using a half kneeling regression."
1744282592-7,https://www.muscleandstrength.com/exercises/alternate-one-arm-standing-palms-in-dumbbell-press.html,Standing Neutral Grip Alternating Dumbbell Shoulder Press,https://www.youtube.com/embed/G0eJa-Bwlhc?rel=0,Shoulders,Strength,Dumbbell,Compound,Push (Unilateral),Beginner,"Abs, Traps, Triceps",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Shoulders.jpg,"The standing neutral grip alternating dumbbell shoulder press is a variation of the standing dumbbell shoulder press and an exercise used to strengthen the muscles of the shoulders.
The neutral grip used in the exercise can be especially helpful for those who experience shoulder and elbow pain in other variations.
Alternating reps will provide a core and shoulder stability challenge while you fight to maintain proper spinal alignment and keep the weight in a pressing position.
This exercise can be incorporated into your shoulder workouts, upper body workouts, push workouts, or full body workouts.","Assume a standing position with your spine neutral, ribcage down, and head looking straight ahead.
Curl the dumbbells into position on your shoulders and ensure your spine remains in a neutral position by bracing your core. (Note: as the weight gets heavier you may have to utilize more of a clean motion to get them into place or allow a spotter to help)
Maintain a neutral grip, take a deep breath, and press one dumbbell overhead by extending the elbow and contracting the deltoid.
Slowly lower the dumbbells back to the starting position (the arms should be roughly 90 degrees or slightly lower depending upon limb lengths) and repeat with the opposite side.
Repeat for the desired number of repetitions.","Don’t allow the head to jut forward excessively.
Drive the bicep to the ear and exhale as you press.
If you sense any pressure in your neck or traps during the movement, look to address a lack of thoracic spine extension or shoulder flexion.
Keeping the elbows slightly bent at the top and not locking out entirely will help to keep tension on the shoulders.
If you can’t lock out the elbows overhead than it may indicate a lack of shoulder mobility due to poor scapular upward rotation."
1744282594-8,https://www.muscleandstrength.com/exercises/kettlebell-arm-bar,Kettlebell Arm Bar,https://www.youtube.com/embed/2bQBd4mKXdw?rel=0,Shoulders,Warmup,Kettle Bells,Compound,Dynamic Stretching,Intermediate,"Chest, Glutes, Hip Flexors, Triceps, Upper Back",https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Shoulders.jpg,"The kettlebell arm bar is an exercise used during a warm up as a form of dynamic stretching to increase mobility in targeted muscle groups and activate others.
The kettlebell arm bar does just this by activating the muscles of the arms, shoulders, and chest while they fight to stabilize the kettlebell overhead. Meanwhile, you increase the mobility of your hips and activate your glutes during the leg crossing portion of the drill.","
		In a side lying position, grasp a kettlebell with both hands and roll onto your back.

		Press the kettlebell to full lockout using just one arm and then place your free hand out to the side of the body.

		Bring the ipsilateral knee into flexion and maintain that position throughout the duration of the movement.

		Rotate the knee in front of the body until it touches the floor. Keep your eyes on the kettlebell but allow the shoulder blade to move independently on the ribcage as the hips rotate.

		Rotate the hips back to the starting position and repeat for the desired number of repetitions on both sides.","
		Never stretch to the point of pain or discomfort which causes you to hold your breath. Holding the breath increases global tension and will only work against the effects of the stretch at hand.

		Don’t allow the wrist to break backwards at any point during the movement. Ideally you should have a straight line from shoulder through wrist.

		Keep your eyes on the kettlebell and fight for stability at the shoulder. The movement should be smooth and result in a stretch on the pec and musculature surrounding the scapula and shoulder girdle.

		You should feel this stretch globally, not just pinpointed at the front of the shoulder joint."
1744282596-9,https://www.muscleandstrength.com/exercises/back-to-wall-alternating-shoulder-flexion,Back to Wall Alternating Shoulder Flexion,https://www.youtube.com/embed/OU2d7rXN4sk?rel=0,Shoulders,Activation,Bodyweight,Compound,Push (Unilateral),Beginner,Upper Back,https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Shoulders.jpg,"The back to wall alternating shoulder flexion is an activation drill used to warm up the muscles of the upper body.
Primarily, the back to wall alternating shoulder flexion works on the mobility of the upper back and shoulders.
Proper warming up is critical, especially when it comes to the shoulder joint as it is active in the majority of movements putting it at a higher risk for injury.","
		Setup in a standing position with your back against a wall and your feet roughly 6-8 inches away from the base of the wall.

		Exhale and slowly raise the one arm overhead as you try to touch your thumbs to the wall.

		Return to the starting position and repeat for the desired number of repetitions, then switch sides and repeat.","
		You may need to regress this drill to a supine position on the floor if you lack the anterior core control to complete it against the wall.

		Watch the elbow positioning as the arms raise overhead. If someone is “missing” overhead range of motion (which can be due to a variety of reasons, not just tissue restrictions) then they will likely compensate by bending the elbows.

		Ensure the low back stays relatively flat against the wall and the rib cage doesn’t flare as the arms go overhead.

		Make a double chin before you raise the arms as this will help to prevent the head jutting forward as the arms come fully into flexion.

		To make the exercise even tougher, add a full exhale at the top position to really drive activation of the abdominals and prevent the ribcage from flaring upward.

		If you’re a fairly kyphotic (flexed) individual then you may need to actually allow the shoulder blades to posteriorly tilt. Alternatively, if you sit in scapular depression, you may need to shrug slightly at the top to allow for complete upward rotation and optimal glenohumeral kinematics."
1744282598-10,https://www.muscleandstrength.com/exercises/exercise-ball-lateral-raise.html,Exercise Ball Lateral Raise,https://player.vimeo.com/video/760007956?badge=0&autopause=0&player_id=0&app_id=58479,Shoulders,Strength,Exercise Ball,Isolation,Pull,Intermediate,,https://cdn.muscleandstrength.com/sites/all/themes/mnsnew/images/taxonomy/exercises/muscle-groups/full/Shoulders.jpg,"The exercise ball lateral raise is a lateral raise variation and is used to strengthen the muscles of the shoulder.
The use of an exercise ball instead of a bench provides a unique challenge as the exercise ball forces you to engage your core muscles to stabilize the weight.","Grab a pair of dumbbells with a neutral grip and sit on the center of an exercise ball with your feet around shoulder width apart. 
Inhale, engage your core, and slowly raise the dumbbells to around shoulder height.
Pause, then slowly lower the dumbbell back to the starting position.
Repeat for desired reps.",
